batch,unit_flops,max_N,tile_N,stdev,start_idx,end_idx,static_coarse_cycles,static_interleave_cycles,dynamic_cycles
16,2048,8000,32,1974,1487,1502,75770,43652,33809
16,2048,6528,32,1951,3727,3742,69866,47508,23560
16,2048,8000,32,1884,1501,1516,77082,42006,22675
16,2048,4672,32,1456,2805,2820,74622,32424,26043
16,2048,4672,32,1455,821,836,56500,27325,15218
16,2048,4672,32,1454,985,1000,54450,25687,14752
16,2048,4672,32,987,3349,3364,52236,20361,17494
16,2048,4672,32,987,3275,3290,56008,23227,18398
16,2048,4672,32,986,3181,3196,60026,25042,16433
16,2048,4672,32,480,3799,3814,42970,15361,11641
16,2048,4672,32,479,2477,2492,41084,12416,13482
16,2048,4672,32,479,1063,1078,31900,10105,9455
16,2048,2048,32,198,1683,1698,45348,12161,11804
16,2048,2048,32,198,1443,1458,50350,14052,14055
16,2048,2048,32,174,1845,1860,44692,11755,11838
